Student Name, Student ID, Time In, Time Out, Tutor Name, Tutor ID, Tutor Time In, Tutor Time Out, Class, Table
Lauren Archer, 003824219, 2020-04-24 17:01:42, 2020-04-24 17:09:32, Megan Chang, 006048764, 2020-04-24 14:51:50, 2020-04-24 18:17:50, CPSC 453 Network Implementation and Security, 2
Thomas Garcia, 008924115, 2020-04-24 15:14:16, 2020-04-24 15:15:10, Megan Chang, 006048764, 2020-04-24 14:51:50, 2020-04-24 18:17:50, MATH 460 Modern Algebra, 2
Michelle Green, 006593877, 2020-04-24 16:43:21, 2020-04-24 18:02:31, Megan Chang, 006048764, 2020-04-24 14:51:50, 2020-04-24 18:17:50, CPSC 244 Level Design I, 2
Maria Cook, 008016097, 2020-04-24 15:17:41, 2020-04-24 17:24:37, Megan Chang, 006048764, 2020-04-24 14:51:50, 2020-04-24 18:17:50, MATH 098 Elementary Algebra, 2
Linda West, 005139332, 2020-04-24 16:39:08, 2020-04-24 17:28:28, Megan Chang, 006048764, 2020-04-24 14:51:50, 2020-04-24 18:17:50, CPSC 356 Android Application Development, 2
Kelly Martinez, 001587148, 2020-04-24 15:56:46, 2020-04-24 16:47:19, Megan Chang, 006048764, 2020-04-24 14:51:50, 2020-04-24 18:17:50, MATH 115 Calculus Part I: Differentiation and Integration, 2
Aimee Young, 002018684, 2020-04-02 16:54:22, 2020-04-02 17:35:16, Marvin Nielsen, 003989471, 2020-04-02 14:53:49, 2020-04-02 17:39:49, MATH 099 Intermediate Algebra, 13
Donna Davies, 003969477, 2020-04-02 15:03:10, 2020-04-02 16:13:01, Marvin Nielsen, 003989471, 2020-04-02 14:53:49, 2020-04-02 17:39:49, CPSC 298 Computer Science Colloquium, 13
Crystal Bruce, 005159179, 2020-04-02 17:05:49, 2020-04-02 17:12:16, Marvin Nielsen, 003989471, 2020-04-02 14:53:49, 2020-04-02 17:39:49, CPSC 245 Unity Programming, 13
Marvin Cabrera, 003041352, 2020-04-02 16:19:43, 2020-04-02 17:33:11, Marvin Nielsen, 003989471, 2020-04-02 14:53:49, 2020-04-02 17:39:49, MATH 220 Scientific Computing I, 13
Erin Johnson, 001230989, 2020-04-02 15:14:35, 2020-04-02 16:40:11, Marvin Nielsen, 003989471, 2020-04-02 14:53:49, 2020-04-02 17:39:49, MATH 208 Foundations of Geometry, 13
Martha Wilson, 003991615, 2020-04-02 15:00:38, 2020-04-02 15:19:20, Marvin Nielsen, 003989471, 2020-04-02 14:53:49, 2020-04-02 17:39:49, MATH 361 Mathematical Statistics, 13
Chad Jones, 000086914, 2020-04-06 13:37:46, 2020-04-06 13:52:20, Marvin Nielsen, 003989471, 2020-04-06 12:30:50, 2020-04-06 13:53:50, MATH 109 Calculus with Applications in Business and Social Science, 10
Benjamin Garcia, 004562087, 2020-04-06 13:23:16, 2020-04-06 13:40:54, Marvin Nielsen, 003989471, 2020-04-06 12:30:50, 2020-04-06 13:53:50, MATH 390 Introduction to Differential Geometry, 10
